county,year,pop_m_0,pop_m_1,pop_m_5,pop_m_10,pop_m_15,pop_m_20,pop_m_25,pop_m_30,pop_m_35,pop_m_40,pop_m_45,pop_m_50,pop_m_55,pop_m_60,pop_m_65,pop_m_70,pop_m_75,pop_m_80,pop_m_85,pop_m_90,pop_f_0,pop_f_1,pop_f_5,pop_f_10,pop_f_15,pop_f_20,pop_f_25,pop_f_30,pop_f_35,pop_f_40,pop_f_45,pop_f_50,pop_f_55,pop_f_60,pop_f_65,pop_f_70,pop_f_75,pop_f_80,pop_f_85,pop_f_90,male_total,female_total,total_population,children_under_5,working_age,elderly_65plus,sex_ratio,dependency_ratio,child_dependency_ratio,elderly_dependency_ratio,pct_children,pct_elderly,county_area_km2
Elgeyo-Marakwet,2021,6124.7435,23996.3820,30944.7248,29883.6571,26547.6006,21010.1028,15746.2742,13466.7172,11119.6283,9013.4046,8041.9667,5387.4018,4793.9990,3456.1521,2444.5722,1629.4998,956.6474,492.2259,228.8918,131.3439,6041.5795,23688.0042,30043.2927,30165.5153,26585.0291,19886.6979,15440.8917,13195.9275,10183.9158,8707.2774,8118.2269,5856.7935,5075.4328,3692.7579,2594.8420,1875.0482,1343.4276,883.9087,462.3036,292.5747,215415.9356,214133.4469,429549.3825,59850.7091,235326.1979,13335.2856,100.6000,31.1000,25.4300,5.6700,13.9300,3.1000,2803.0998
Elgeyo-Marakwet,2022,6198.0623,23998.6754,30795.2972,30252.2485,27286.3857,21715.9327,15990.9501,13652.1815,11473.4365,9354.9275,8314.7764,5594.8917,5025.8696,3639.3164,2587.4665,1639.8377,1000.8577,495.8296,231.9304,134.2208,6117.6465,23701.2028,29899.6381,30505.5263,27280.6478,20518.9491,15755.2972,13469.6939,10534.4320,9015.2280,8361.4594,6071.8309,5314.9051,3897.9777,2760.9855,1931.1183,1367.2920,892.7077,478.7752,303.7683,219383.0942,218179.0817,437562.1759,60015.5871,242269.0892,13824.7895,100.5500,30.4800,24.7700,5.7100,13.7200,3.1600,2803.0998
Elgeyo-Marakwet,2023,6276.1370,24154.3047,30769.6561,30436.2385,28132.7020,22525.2772,16358.1993,13803.8625,11837.0072,9707.6287,8599.6563,5794.3721,5238.6279,3835.5080,2748.8958,1667.5698,1073.1170,505.0630,223.7037,125.6233,6191.2439,23847.6883,29878.1648,30644.5531,28008.5097,21177.3622,16179.0181,13761.7835,10946.0655,9360.5144,8639.6899,6281.3281,5528.8072,4093.8845,2930.3862,2009.6287,1397.2663,892.9933,476.3477,292.6723,223813.1501,222537.9076,446351.0578,60469.3739,249809.8042,14343.2672,100.5700,29.9500,24.2100,5.7400,13.5500,3.2100,2803.0998
Elgeyo-Marakwet,2024,6352.1026,24359.8249,30842.9690,30412.5647,28978.5530,23321.9092,16825.3209,13942.1680,12179.0268,10062.8552,8909.1907,5994.0476,5449.0990,4036.1610,2916.9202,1698.8566,1155.1746,521.1550,216.7813,118.6102,6266.6534,24042.7833,29951.2022,30590.9402,28741.3593,21808.0634,16666.3445,14037.6767,11356.8804,9716.0212,8941.8434,6490.2135,5740.1161,4291.8692,3104.6738,2099.2387,1442.2980,895.1646,473.9535,284.7394,228293.2907,226942.0348,455235.3254,61021.3643,257488.7192,14927.5659,100.6000,29.5000,23.7000,5.8000,13.4000,3.2800,2803.0998
Elgeyo-Marakwet,2025,6450.9094,24655.1656,30917.0364,30291.9268,29750.8342,24119.6019,17362.7251,14085.4198,12488.5612,10426.8294,9239.7466,6189.6745,5655.1757,4233.0363,3082.3983,1726.9885,1239.5041,541.8656,209.8316,110.1680,6365.6190,24332.1676,30025.7257,30445.3874,29404.7272,22419.1059,17194.0058,14324.3245,11764.2698,10101.7677,9268.9569,6696.4140,5947.9388,4485.4902,3274.7924,2187.7558,1495.2390,897.9499,468.7812,273.8565,232777.3993,231374.2754,464151.6747,61803.8616,265158.6057,15509.1311,100.6100,29.1600,23.3100,5.8500,13.3200,3.3400,2803.0998
Embu,2021,7127.6254,27925.6154,33086.7093,35894.7616,35247.0246,29701.7267,25437.6208,25574.3324,25278.7190,20632.7356,17254.9437,14539.4274,11938.7378,7429.5311,5414.9336,3247.9858,1854.9911,1164.5571,654.7326,362.6212,6912.8932,27104.2779,32635.9506,35590.5247,34778.2982,27574.3890,22980.7704,23644.2665,24074.7182,19735.8616,17482.9722,15869.3235,12784.6407,8086.7547,6151.2517,4248.4513,2798.6096,2271.6047,1558.4251,1011.4405,329769.3321,327295.4242,657064.7563,69070.4119,420046.7940,30739.6043,100.7600,23.7600,16.4400,7.3200,10.5100,4.6800,2903.4020
Embu,2022,7186.2762,27825.0038,32804.5858,36205.6742,36098.0325,30590.0848,25739.7784,25832.8841,25988.6309,21336.1335,17773.4178,15042.6027,12468.4267,7793.3971,5709.8529,3256.0407,1933.1475,1168.5579,660.9160,369.1790,6973.9841,27018.8562,32359.8637,35860.1590,35559.8174,28348.6250,23362.4180,24045.9720,24814.0186,20358.6153,17939.5459,16390.8548,13337.7359,8503.9893,6520.0631,4358.1688,2837.1448,2285.3428,1607.7144,1046.0708,335782.6225,333528.9598,669311.5823,69004.1204,431324.9805,31752.1987,100.6800,23.3600,16.0000,7.3600,10.3100,4.7400,2903.4020
Embu,2023,7252.6732,27912.5962,32668.2477,36307.9188,37098.7475,31628.8780,26245.7009,26035.3536,26725.3179,22068.0457,18320.6327,15526.4084,12951.8037,8185.4448,6045.6083,3299.7133,2065.4584,1186.2007,635.3146,344.3770,7034.4246,27095.4872,32229.5918,35905.9618,36391.2105,29163.6799,23911.2961,24486.2703,25701.0594,21068.7050,18474.5750,16900.0026,13828.0724,8901.3038,6896.3929,4519.2200,2889.1370,2278.1537,1594.0261,1004.3604,342504.4415,340272.9303,682777.3717,69295.1812,443612.5082,32757.9622,100.6600,23.0100,15.6200,7.3800,10.1500,4.8000,2903.4020
Embu,2024,7315.9741,28056.1978,32636.6736,36161.5364,38091.2035,32642.0139,26907.0920,26210.3885,27407.7210,22800.0423,18915.8880,16006.8555,13425.6729,8584.0397,6393.3923,3350.0177,2215.5880,1219.7470,613.5657,324.0647,7096.3027,27225.8346,32200.9012,35725.5257,37222.4374,29934.2536,24549.4184,24893.9997,26579.5559,21796.2801,19056.3597,17403.4610,14308.1417,9300.2170,7281.4706,4703.9359,2971.7377,2275.7541,1580.4977,973.7260,349277.6745,347079.8109,696357.4855,69694.3092,456035.0419,33903.4975,100.6300,22.7200,15.2800,7.4300,10.0100,4.8700,2903.4020
Embu,2025,7406.1300,28305.9878,32610.8994,35906.3822,38986.3620,33654.3796,27679.7540,26396.9442,28016.3963,23550.0886,19554.2620,16475.4679,13887.4257,8973.1684,6734.1733,3394.2646,2369.3552,1264.0165,591.9745,300.0387,7185.3817,27465.6570,32178.6809,35444.4075,37963.8369,30676.7573,25245.7836,25321.3561,27447.8759,22589.6518,19689.9326,17898.7728,14778.3251,9688.3725,7655.2681,4885.6398,3070.4536,2275.2636,1558.0684,933.3946,356057.4709,353952.8799,710010.3507,70363.1565,468474.9132,35031.9110,100.5900,22.5000,15.0200,7.4800,9.9100,4.9300,2903.4020
